study_id,version,data_new_shared,data_new_denom,data_reuse_shared,data_reuse_denom,code_new_shared,code_new_denom,software_reuse_shared,software_reuse_denom,materials_new_shared,materials_new_denom,materials_reuse_shared,materials_reuse_denom,protocol_shared,protocol_denom
81,first_version,0,6,0,0,0,2,0,5,0,0,7,18,2,8
81,published,5,5,0,0,4,4,8,8,0,0,24,24,11,11
82,first_version,3,4,0,0,0,1,4,4,0,0,9,10,7,11
82,published,5,5,0,0,1,1,4,4,0,0,10,10,12,12
83,first_version,0,7,0,0,0,2,0,9,0,0,0,17,0,9
83,published,8,8,0,0,1,2,9,9,0,0,16,16,9,9
84,first_version,6,9,1,1,0,1,11,16,0,0,1,13,2,12
84,published,7,9,1,1,0,1,13,15,0,2,10,16,8,12
85,first_version,2,6,0,1,0,2,4,13,0,0,14,23,2,11
85,published,4,4,1,2,2,2,10,16,0,0,22,23,6,8
86,first_version,0,5,0,1,0,1,0,9,0,0,7,14,0,7
86,published,5,5,1,1,0,1,8,9,0,0,17,17,3,8
87,first_version,0,6,0,0,0,1,0,6,0,0,4,6,0,6
87,published,0,2,0,0,0,1,0,7,0,0,4,6,1,6
88,first_version,0,1,9,10,0,2,0,20,0,0,0,0,1,6
88,published,2,2,14,14,2,2,2,2,0,0,0,0,0,2
89,first_version,1,4,4,5,2,2,15,19,0,0,1,1,2,3
89,published,4,4,5,5,2,2,20,20,0,0,1,1,3,3
90,first_version,3,3,0,1,0,2,0,11,0,0,0,1,5,14
90,published,3,3,5,6,1,1,14,15,0,0,1,1,2,2
91,first_version,0,0,0,0,0,3,2,12,0,0,1,1,1,1
91,published,0,0,0,0,3,3,14,14,0,0,1,1,3,3
92,first_version,0,9,0,0,0,0,4,5,0,0,9,12,4,7
92,published,8,8,0,0,0,0,5,5,0,0,12,12,7,7
93,first_version,3,5,0,1,0,0,4,4,0,0,7,8,6,6
93,published,4,4,0,0,0,0,4,4,0,0,8,8,7,7
94,first_version,0,2,0,0,0,0,1,4,0,0,0,17,0,3
94,published,4,4,0,0,0,0,5,5,0,11,4,37,5,6
95,first_version,3,3,0,0,1,1,3,5,0,0,1,2,0,3
95,published,3,3,0,0,1,1,5,5,0,0,2,2,4,4
96,first_version,0,15,0,0,0,1,10,12,0,1,16,19,12,15
96,published,14,14,0,0,0,0,12,12,4,4,47,47,15,15
97,first_version,2,13,0,0,0,1,2,26,0,0,2,24,1,7
97,published,15,18,0,0,0,1,24,29,0,0,25,27,5,9
98,first_version,3,10,0,0,1,3,7,35,0,7,31,36,11,18
98,published,11,11,2,2,3,3,35,36,6,6,38,38,17,18
99,first_version,15,15,1,1,0,0,6,11,0,10,0,3,2,2
99,published,18,19,5,5,0,0,11,11,0,0,12,13,3,3
100,first_version,0,11,2,2,1,3,44,66,21,32,20,21,0,18
100,published,12,12,1,1,1,1,74,74,34,34,46,46,27,27
101,first_version,0,9,0,1,0,2,1,13,4,4,12,19,3,11
101,published,8,8,1,1,1,1,13,13,4,4,19,19,12,12
102,first_version,3,10,1,2,0,2,27,34,8,8,12,19,8,9
102,published,8,8,1,1,2,2,27,28,14,14,13,13,11,11
103,first_version,9,13,0,1,0,0,8,14,0,1,48,68,5,17
103,published,15,15,1,1,0,0,12,14,1,1,99,99,18,18
