doi,date_preprint,date_journal_submission,date_publication,span_submission_preprint,span_publication_preprint
10.1038/s41531-024-00748-5,2024-01-26,2024-01-25,2024-07-20,-1,176
10.1038/s41531-024-00694-2,2023-03-02,2023-03-11,2024-04-12,9,407
10.1016/j.celrep.2024.114483,2022-11-01,2022-11-28,2024-07-17,27,624
10.1186/s40035-024-00403-2,2023-10-06,2023-10-09,2024-03-04,3,150
10.1016/j.celrep.2024.113784,2023-04-20,2023-04-12,2024-02-21,-8,307
10.1038/s41556-025-01623-y,2024-05-30,2024-05-21,2025-03-26,-9,300
10.1111/ejn.16307,2023-06-19,2023-07-31,2024-03-15,42,270
10.1016/j.cub.2024.01.067,2021-12-02,2022-02-13,2024-02-19,73,809
10.1038/s41531-024-00842-8,2024-06-13,2024-06-28,2024-12-11,15,181
10.1016/j.jneumeth.2024.110133,2024-02-20,2023-12-22,2024-04-06,-60,46
10.1083/jcb.202310150,2023-11-01,2023-10-29,2025-01-15,-3,441
10.7554/eLife.89687.3,2023-06-26,2023-06-03,2024-05-07,-23,316
10.1073/pnas.2419079121,2024-09-26,2024-09-23,2024-12-05,-3,70
10.26508/lsa.202402922,2024-06-17,2024-07-02,2024-11-13,15,149
10.1038/s41419-024-06534-8,2022-05-02,2023-07-18,2024-04-04,442,703
10.1038/s41587-025-02565-4,2023-12-24,2023-12-23,2025-03-20,-1,452
10.1007/s10048-024-00767-7,2023-01-17,2024-04-26,2024-07-18,465,548
10.1016/j.nbd.2024.106702,2024-05-20,2024-08-05,2024-10-13,77,146
10.1038/s41592-024-02382-8,2023-02-08,2023-02-03,2024-10-07,-5,607
10.1039/d4lc00107a,2023-10-17,2024-02-01,2024-06-06,107,233
10.1186/s12974-024-03322-1,2024-10-29,2024-11-01,2025-02-24,3,118
10.1172/jci180478,2024-02-12,2024-02-20,2024-12-17,8,309
10.1038/s42003-024-06940-w,2023-08-08,2023-11-30,2024-10-09,114,428
10.1038/s41598-024-60602-9,2023-08-05,2023-08-07,2024-05-22,2,291
10.3389/fnana.2024.1355940,2023-12-15,2023-12-14,2024-03-27,-1,103
10.1016/j.celrep.2025.115454,2024-08-29,2024-10-02,2025-04-22,34,236
10.3390/ijms25031827,2024-01-08,2024-01-04,2024-02-02,-4,25
10.1083/jcb.202307092,2023-07-25,2023-07-19,2024-03-21,-6,240
10.1038/s41531-024-00824-w,2024-03-25,2024-02-05,2024-11-05,-49,225
10.1016/j.neuron.2024.06.002,2022-12-02,2022-11-29,2024-07-29,-3,605
