study_id,version,data_new_shared,data_new_denom,data_reuse_shared,data_reuse_denom,code_new_shared,code_new_denom,software_reuse_shared,software_reuse_denom,materials_new_shared,materials_new_denom,materials_reuse_shared,materials_reuse_denom,protocol_shared,protocol_denom,data_new_perc,data_reuse_perc,code_new_perc,software_reuse_perc,materials_new_perc,materials_reuse_perc,protocol_perc
13,published,3,3,1,1,1,2,0,11,0,0,3,3,0,1,1,1,0.5,0,NaN,1,0
14,first_version,2,4,5,5,0,4,1,15,0,0,0,11,2,8,0.5,1,0,0.07,NaN,0,0.25
14,published,5,5,7,7,0,0,14,16,0,0,17,17,4,4,1,1,NaN,0.88,NaN,1,1
15,first_version,10,10,2,2,0,2,10,10,1,9,19,24,8,8,1,1,0,1,0.11,0.79,1
15,published,8,8,2,2,1,1,10,12,10,10,25,25,8,8,1,1,1,0.83,1,1,1
16,first_version,0,12,1,1,0,0,1,5,0,0,0,21,1,14,0,1,NaN,0.2,NaN,0,0.07
16,published,14,14,2,2,0,0,9,9,9,9,39,41,14,14,1,1,NaN,1,1,0.95,1
17,first_version,0,7,0,0,0,1,1,6,0,0,64,75,14,14,0,NaN,0,0.17,NaN,0.85,1
17,published,12,12,0,0,1,1,10,13,6,6,82,82,16,18,1,NaN,1,0.77,1,1,0.89
18,first_version,1,1,13,18,0,3,12,20,0,0,0,0,0,0,1,0.72,0,0.6,NaN,NaN,NaN
18,published,0,0,16,20,3,3,26,28,0,0,0,0,0,0,NaN,0.8,1,0.93,NaN,NaN,NaN
19,first_version,0,4,12,12,0,4,10,26,0,0,3,29,3,13,0,1,0,0.38,NaN,0.1,0.23
19,published,4,14,9,12,1,6,30,39,0,1,2,27,7,13,0.29,0.75,0.17,0.77,0,0.07,0.54
20,first_version,3,3,12,12,1,1,0,15,0,0,0,0,0,0,1,1,1,0,NaN,NaN,NaN
20,published,0,0,18,18,8,8,19,20,0,0,0,0,0,0,NaN,1,1,0.95,NaN,NaN,NaN
21,first_version,0,4,0,0,0,0,1,2,0,0,14,22,0,9,0,NaN,NaN,0.5,NaN,0.64,0
